condition,status,priority,phase,categories,matched_script_count,matched_scripts
Abnormal blood film,missing,medium,phase-3-create-backlog,Blood and lymph,0,
Abscess,covered-needs-refresh,high,phase-1-pilot,Infections,8,is-anorectal-abscess; is-breast-abscess; is-iliopsoas-abscess; is-intra-abdominal-abscess; is-pelvic-abscess; is-peritonsillar-abscess; is-retropharyngeal-abscess; is-spinal-abscess
Acid-base abnormality,missing,medium,phase-3-create-backlog,Kidneys and urinary tract,0,
Acne vulgaris,missing,medium,phase-3-create-backlog,Skin and soft tissue,0,
Acromegaly,missing,medium,phase-3-create-backlog,Endocrine and metabolic,0,
Acute bronchitis,missing,high,phase-3-create-priority,"Lungs, pleura and airways",0,
Acute cholangitis,missing,medium,phase-3-create-backlog,"Liver, pancreas, biliary system",0,
Acute coronary syndromes,covered-needs-refresh,high,phase-1-pilot,Heart and vasculature,1,is-acute-coronary-syndrome
Acute glaucoma,covered-needs-refresh,medium,phase-2-refresh,Eye,1,is-acute-glaucoma
Acute kidney injury,missing,medium,phase-3-create-backlog,Kidneys and urinary tract,0,
Acute pancreatitis,covered-needs-refresh,medium,phase-2-refresh,"Liver, pancreas, biliary system",1,is-acute-pancreatitis
Acute respiratory distress syndrome (ARDS),covered-needs-refresh,high,phase-1-pilot,"Lungs, pleura and airways",1,is-neonatal-respiratory-distress-syndrome
Acute stress reaction,missing,medium,phase-3-create-backlog,Mental health,0,
Adrenal insufficiency (including primary and secondary),missing,medium,phase-3-create-backlog,Endocrine and metabolic,0,
Adverse drug effects,missing,high,phase-3-create-priority,Drugs and drug effects,0,
Airway compromise/ management,missing,medium,phase-3-create-backlog,"Ear, nose and throat",0,
Alcohol related liver disease,covered-needs-refresh,medium,phase-2-refresh,"Liver, pancreas, biliary system",1,is-alcoholic-liver-disease
Alcohol withdrawal and opioid withdrawal,missing,medium,phase-3-create-backlog,Mental health,0,
Allergic disorder (including food allergy),missing,medium,phase-3-create-backlog,Multi-system diseases,0,
Anaemia,covered-needs-refresh,medium,phase-2-refresh,Blood and lymph,11,is-anaemia; is-anaemia-sob; is-aplastic-anaemia; is-childhood-anaemia; is-haemolytic-anaemia; is-iron-deficiency-anaemia; is-macrocytic-anaemia; is-medication-induced-anaemia; is-microcytic-anaemia; is-normocytic-anaemia; is-sideroblastic-anaemia
Anal fissure,covered-needs-refresh,medium,phase-2-refresh,Gastrointestinal tract,1,is-anal-fissure
Anaphylaxis,covered-needs-refresh,medium,phase-2-refresh,Multi-system diseases,1,is-anaphylaxis
"Aneurysms, ischaemic limb and occlusions",missing,high,phase-3-create-priority,Heart and vasculature,0,
Antepartum haemorrhage,missing,high,phase-3-create-priority,Pregnancy and the puerperium,0,
Aortic aneurysm,covered-needs-refresh,high,phase-1-pilot,Heart and vasculature,3,is-aortic-aneurysm; is-aortic-aneurysm-rupture-or-dissection; is-aortic-aneurysm-thoracic
Aortic dissection,missing,high,phase-3-create-priority,Heart and vasculature,0,
Aortic valve disease,missing,high,phase-3-create-priority,Heart and vasculature,0,
Appendicitis,covered-needs-refresh,medium,phase-2-refresh,Gastrointestinal tract,2,is-abdominal-pain-appendicitis; is-appendicitis
Arginine vasopressin deficiency/ resistance (diabetes insipidus),missing,medium,phase-3-create-backlog,Endocrine and metabolic,0,
Arterial thrombosis/ embolism,missing,high,phase-3-create-priority,Heart and vasculature,0,
Ascites (including spontaneous bacterial peritonitis),missing,medium,phase-3-create-backlog,"Liver, pancreas, biliary system",0,
Asthma,covered-needs-refresh,high,phase-1-pilot,"Lungs, pleura and airways",1,is-asthma
Asthma-chronic obstructive pulmonary disease (COPD) overlap,missing,high,phase-3-create-priority,"Lungs, pleura and airways",0,
Atopic dermatitis/ eczema,covered-needs-refresh,medium,phase-2-refresh,Skin and soft tissue,1,is-atopic-dermatitis
Attention deficit hyperactivity disorder (ADHD),missing,medium,phase-3-create-backlog,Mental health,0,
Autism spectrum disorder (ASD),missing,medium,phase-3-create-backlog,Mental health,0,
